APPL 291.99
AUDI 306.23
ASTN 109.65
BLKBRY 51.99
BLU 12.43
BRNP 75.12
GOOGL 1231.23
MSFT 310.10
AMZN 3450.75
TSLA 720.30
META 365.80
NFLX 390.25
NVDA 690.00
INTC 44.20
AMD 122.90
ORCL 117.55
IBM 142.30
UBER 65.40
SHOP 78.90
ADBE 570.00
CRM 245.20
PYPL 71.60
SQ 60.30
TWTR 53.00
ZM 70.00
PINS 29.75
SPOT 160.00
ROKU 75.40
SNAP 11.25
SONY 90.10
NKE 112.00
DIS 98.75
SBUX 97.30
MCD 285.60
PEP 175.40
KO 62.30
WMT 152.50
TGT 135.90
COST 560.00
CVS 72.80
BA 207.40
LMT 460.50
NOC 470.00
RTX 91.20
XOM 108.40
CVX 160.30
BP 39.80
TOT 62.75
HSBC 40.90
JPM 157.20
BAC 44.60
WFC 48.75
GS 378.90
MS 85.60
AXP 185.40
V 238.90
MA 390.10
INTU 490.00
ADP 235.60
TOP 16.80
VZ 34.70
TMUS 140.20
QCOM 135.40
AVGO 1320.75
TXN 180.20
MU 120.10
WDAY 225.50
NOW 700.00
ZS 175.90
CRWD 320.10
DDOG 130.20
PLTR 22.90
RBLX 35.70
ABNB 150.80
UBS 32.50
ING 14.90
C 45.60
DELL 90.70
HP 232.90
MSI 345.00
PANW 410.80
OKTA 75.50
DOCU 54.70
BIDU 112.00
JD 27.40
TCEHY 48.60
BYND 10.90
PFE 36.20
MRNA 110.70
JNJ 155.80
ABBV 163.90
LLY 870.50
NVO 136.30
GILD 64.20
BIIB 225.40
REGN 830.00
AMGN 295.90
ZBH 113.80
ISRG 400.10
VRTX 475.70
BMY 42.90
AZN 73.50
